tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs,workers,threads
dtable,groupby_single_col,10000000,25000000,1000,4,2.1924821e9,3.913043e8,2959605600,20224658,1,16
dtable,groupby_single_col,10000000,25000000,1000,4,2.0965507e9,3.783968e8,2959545520,20223683,1,2
dtable,groupby_single_col,10000000,25000000,1000,4,2.0915833e9,3.867768e8,2959550960,20223818,1,4
dtable,groupby_single_col,10000000,25000000,10000,4,2.8352305e9,6.095208e8,2484070352,22142746,1,8
dtable,groupby_single_col,10000000,25000000,10000,4,2.9502875e9,6.144285e8,2484113024,22143311,1,16
dtable,groupby_single_col,10000000,25000000,10000,4,2.9072864e9,6.150052e8,2484053072,22142340,1,2
dtable,groupby_single_col,10000000,25000000,10000,4,2.8097135e9,6.094478e8,2484061840,22142534,1,4
dtable,groupby_single_col,100000000,10000000,1000,4,2.12223832e10,1.06798979e10,29663413201,203571499,1,8
dtable,groupby_single_col,100000000,10000000,1000,4,2.57808387e10,1.29544462e10,29663852800,203563043,1,16
dtable,groupby_single_col,100000000,10000000,1000,4,1.4809113019e10,2.065748418e9,10187338964,66769203,4,4
dtable,groupby_single_col,100000000,10000000,1000,4,1.3725511834e10,1.78482907e8,439934528,5305305,8,4
dtable,groupby_single_col,100000000,10000000,1000,4,2.58064923e10,7.9891091e9,29703864848,204273180,1,2
dtable,groupby_single_col,100000000,10000000,1000,4,2.45929632e10,1.2903825e10,29705494272,204307988,1,4
dtable,groupby_single_col,100000000,10000000,10000,4,9.07940976e10,5.43853037e10,26005805024,243051276,1,8
dtable,groupby_single_col,100000000,10000000,10000,4,1.223099901e11,7.0933967e10,25657797760,236505610,1,16
dtable,groupby_single_col,100000000,10000000,10000,4,3.714426408e10,3.488114426e9,10095678798,104968418,4,4
dtable,groupby_single_col,100000000,10000000,10000,4,4.1094165877e10,9.29451207e8,1507290913,28279021,8,4
dtable,groupby_single_col,100000000,10000000,10000,4,5.78803271e10,2.57843617e10,25925778352,242102133,1,2
dtable,groupby_single_col,100000000,10000000,10000,4,8.00936509e10,4.59341529e10,25941141880,242393328,1,4
dtable,groupby_single_col,100000000,25000000,1000,4,1.02570714e10,5.0235458e9,19580953456,202104493,1,8
dtable,groupby_single_col,100000000,25000000,1000,4,1.05457504e10,5.1648492e9,19591183216,202245002,1,16
dtable,groupby_single_col,100000000,25000000,1000,4,2.11766146e10,5.6009712e9,19602267075,202530975,1,2
dtable,groupby_single_col,100000000,25000000,1000,4,1.50122741e10,6.2759764e9,19603417008,202545834,1,4
dtable,groupby_single_col,100000000,25000000,10000,4,7.3066482e10,3.99130038e10,24769051312,220867261,1,8
dtable,groupby_single_col,100000000,25000000,10000,4,7.3378356e10,3.93211146e10,24864915536,222191623,1,16
dtable,groupby_single_col,100000000,25000000,10000,4,5.54617644e10,2.43693556e10,25012025443,225019279,1,2
dtable,groupby_single_col,100000000,25000000,10000,4,8.13885059e10,4.23422464e10,25020470419,225216082,1,4
dtable,groupby_single_col,500000000,10000000,1000,4,2.792008449e11,1.562750685e11,148225411873,1015972206,1,8
dtable,groupby_single_col,500000000,10000000,1000,4,4.187902401e11,1.996693978e11,148238320785,1016161547,1,16
dtable,groupby_single_col,500000000,10000000,1000,4,8.2481218579e10,3.0727582339e10,51764670309,347330137,4,4
dtable,groupby_single_col,500000000,10000000,1000,4,5.3851079314e10,1.7448886125e10,32864490435,223032589,8,4
dtable,groupby_single_col,500000000,10000000,1000,4,1.844051936e11,7.65059185e10,148221831712,1015904518,1,2
dtable,groupby_single_col,500000000,10000000,1000,4,2.138811777e11,1.213752996e11,148224485024,1015940606,1,4
dtable,groupby_single_col,500000000,10000000,10000,4,9.2625254e11,4.970640818e11,126849124064,1156706402,1,8
dtable,groupby_single_col,500000000,10000000,10000,4,1.5611502868e12,8.951530547e11,126950531552,1158113309,1,16
dtable,groupby_single_col,500000000,10000000,10000,4,3.07124821322e11,8.6667043402e10,36522162192,355946585,4,4
dtable,groupby_single_col,500000000,10000000,10000,4,4.73660849644e11,8.6196732321e10,38210017344,386189053,4,4
dtable,groupby_single_col,500000000,10000000,10000,4,1.7576830839e11,7.1194929097e10,29051091231,309798226,8,4
dtable,groupby_single_col,500000000,10000000,10000,4,5.277912054e11,3.067575106e11,126800928034,1155621659,1,2
dtable,groupby_single_col,500000000,10000000,10000,4,5.881101768e11,3.419961811e11,126822015746,1156180366,1,4
dtable,groupby_single_col,500000000,25000000,1000,4,1.374533453e11,9.50242038e10,97737817696,1007289470,1,8
dtable,groupby_single_col,500000000,25000000,1000,4,1.829910067e11,1.167473784e11,97747235184,1007409942,1,16
dtable,groupby_single_col,500000000,25000000,1000,4,1.282465028e11,4.04921152e10,97733013808,1007181140,1,2
dtable,groupby_single_col,500000000,25000000,1000,4,1.398261631e11,9.01793504e10,97734246464,1007207254,1,4
dtable,groupby_single_col,500000000,25000000,10000,4,8.646935251e11,4.491364142e11,122380100432,1071725507,1,8
dtable,groupby_single_col,500000000,25000000,10000,4,1.2567428584e12,6.889878651e11,122485068848,1073008404,1,16
dtable,groupby_single_col,500000000,25000000,10000,4,4.485132515e11,2.113201388e11,122334747552,1070721251,1,2
dtable,groupby_single_col,500000000,25000000,10000,4,6.631097979e11,3.542080146e11,122351886272,1071077576,1,4
dtable,groupby_single_col,1000000000,10000000,1000,4,1.0128039248e12,5.39074929e11,296403718848,2030494484,1,8
dtable,groupby_single_col,1000000000,10000000,1000,4,9.298075971e11,5.184271393e11,296416345008,2030701441,1,16
dtable,groupby_single_col,1000000000,10000000,1000,4,1.79322752881e11,9.2856554286e10,117165569379,765419813,4,4
dtable,groupby_single_col,1000000000,10000000,1000,4,1.15224362977e11,4.2341661136e10,53312638436,363345813,8,4
dtable,groupby_single_col,1000000000,10000000,1000,4,6.138701734e11,2.707917776e11,296401084640,2030453498,1,2
dtable,groupby_single_col,1000000000,10000000,1000,4,8.028027811e11,4.149399478e11,296404905264,2030541254,1,4
dtable,groupby_single_col,1000000000,10000000,10000,4,2.629737878e12,1.5373595594e12,253292474050,2298613159,1,8
dtable,groupby_single_col,1000000000,10000000,10000,4,3.9687801355e12,2.1202755844e12,253403804960,2300393982,1,16
dtable,groupby_single_col,1000000000,10000000,10000,4,5.23822728905e11,6.9453789489e10,59301401748,601494146,4,4
dtable,groupby_single_col,1000000000,10000000,10000,4,4.12123591718e11,7.4429599983e10,52163612557,544141157,8,4
dtable,groupby_single_col,1000000000,10000000,10000,4,1.2398708147e12,6.308564022e11,253236220464,2296860264,1,2
dtable,groupby_single_col,1000000000,10000000,10000,4,1.6697172063e12,9.428910739e11,253264482352,2298024644,1,4
dtable,groupby_single_col,1000000000,25000000,1000,4,5.481158392e11,3.579069514e11,195407474497,2013057926,1,8
dtable,groupby_single_col,1000000000,25000000,1000,4,4.849239646e11,2.865443826e11,195421831056,2013300025,1,16
dtable,groupby_single_col,1000000000,25000000,1000,4,4.203353584e11,1.334225179e11,195403824000,2012988897,1,2
dtable,groupby_single_col,1000000000,25000000,1000,4,4.23206793e11,2.526905119e11,195407200561,2013032184,1,4
dtable,groupby_single_col,1000000000,25000000,10000,4,2.422818561e12,1.2038771519e12,243908072370,2128746539,1,8
dtable,groupby_single_col,1000000000,25000000,10000,4,4.1741499734e12,2.0012167786e12,244010352177,2130070830,1,16
dtable,groupby_single_col,1000000000,25000000,10000,4,1.2760119696e12,6.030873103e11,243856314130,2127626207,1,2
dtable,groupby_single_col,1000000000,25000000,10000,4,1.699954029e12,9.143474748e11,243877204881,2128088887,1,4
dtable,groupby_single_col,2000000000,10000000,1000,4,6.96212593027e11,4.56095685105e11,202602934040,1354428672,4,4
dtable,groupby_single_col,2000000000,10000000,1000,4,2.34210932537e11,9.6795688128e10,101376294830,684672074,8,4
dtable,groupby_single_col,2000000000,10000000,10000,4,1.704482246058e12,4.31087881345e11,155558536736,1505804295,4,4
dtable,groupby_single_col,2000000000,10000000,10000,4,1.026532687082e12,2.91434039841e11,111253928008,1155433485,8,4
dtable,grouped_reduce_mean_allcols,10000000,10000000,1000,4,2.746706e8,0.0,98872944,1958052,1,8
dtable,grouped_reduce_mean_allcols,10000000,10000000,1000,4,4.232693e8,0.0,109411648,2103060,1,16
dtable,grouped_reduce_mean_allcols,10000000,10000000,1000,4,2.547958424e9,9.1774506e7,240429722,4693690,4,4
dtable,grouped_reduce_mean_allcols,10000000,10000000,1000,4,4.703600856e9,1.52059497e8,301595283,6474549,8,4
dtable,grouped_reduce_mean_allcols,10000000,10000000,1000,4,2.700013e8,0.0,93516896,1835217,1,2
dtable,grouped_reduce_mean_allcols,10000000,10000000,1000,4,2.616859e8,0.0,95274752,1876390,1,4
dtable,grouped_reduce_mean_allcols,10000000,10000000,10000,4,2.9761396e9,2.531331e8,1013244704,20162364,1,8
dtable,grouped_reduce_mean_allcols,10000000,10000000,10000,4,4.5004406e9,2.938318e8,1094281616,21028856,1,16
dtable,grouped_reduce_mean_allcols,10000000,10000000,10000,4,3.0888034437e10,1.411590966e9,2359838982,51234508,4,4
dtable,grouped_reduce_mean_allcols,10000000,10000000,10000,4,3.5353402182e10,1.445835577e9,2343966312,52325505,8,4
dtable,grouped_reduce_mean_allcols,10000000,10000000,10000,4,3.0810221e9,3.135505e8,955275408,18960829,1,2
dtable,grouped_reduce_mean_allcols,10000000,10000000,10000,4,2.9076162e9,2.548707e8,975799520,19418211,1,4
dtable,grouped_reduce_mean_allcols,10000000,25000000,1000,4,2.726775e8,0.0,98839504,1958392,1,8
dtable,grouped_reduce_mean_allcols,10000000,25000000,1000,4,4.138333e8,0.0,109386832,2103961,1,16
