tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs,workers,threads
dask,groupby_single_col,500000000,25000000,10000,4,9.86456872e10,0,0,0,1,8
dask,grouped_reduce_mean_singlecol,500000000,25000000,10000,4,5.268490580000002e10,0,0,0,1,8
dask,grouped_reduce_mean_allcols,500000000,25000000,10000,4,7.871969910000008e10,0,0,0,1,8
dask,innerjoin_r_unique,500000000,25000000,10000,4,3.19382381e10,0,0,0,1,8
dask,scenario_table_load,10000000,10000000,1000,4,1.3552125e9,0,0,0,1,8
dask,scenario_full_table_statistics,10000000,10000000,1000,4,5.127616000000002e8,0,0,0,1,8
dask,scenario_count_unique_a1,10000000,10000000,1000,4,3.404839999999964e7,0,0,0,1,8
dask,scenario_rowwise_sum_and_mean_reduce,10000000,10000000,1000,4,3.44056891e10,0,0,0,1,8
dask,scenario_grouped_a1_statistics,10000000,10000000,1000,4,1.7547835000000021e9,0,0,0,1,8
dask,scenario_table_load,10000000,25000000,1000,4,2.357237e9,0,0,0,1,8
dask,scenario_full_table_statistics,10000000,25000000,1000,4,9.746134999999994e8,0,0,0,1,8
dask,scenario_count_unique_a1,10000000,25000000,1000,4,8.708679999999979e7,0,0,0,1,8
dask,scenario_rowwise_sum_and_mean_reduce,10000000,25000000,1000,4,8.303410170000002e10,0,0,0,1,8
dask,scenario_grouped_a1_statistics,10000000,25000000,1000,4,4.371030000000005e9,0,0,0,1,8
dask,scenario_table_load,10000000,10000000,10000,4,1.2594520999999998e9,0,0,0,1,8
dask,scenario_full_table_statistics,10000000,10000000,10000,4,4.019805999999999e8,0,0,0,1,8
dask,scenario_count_unique_a1,10000000,10000000,10000,4,5.474720000000044e7,0,0,0,1,8
dask,scenario_rowwise_sum_and_mean_reduce,10000000,10000000,10000,4,3.39374926e10,0,0,0,1,8
dask,scenario_grouped_a1_statistics,10000000,10000000,10000,4,2.1309286999999983e9,0,0,0,1,8
dask,scenario_table_load,10000000,25000000,10000,4,2.4322486e9,0,0,0,1,8
dask,scenario_full_table_statistics,10000000,25000000,10000,4,1.0283897e9,0,0,0,1,8
dask,scenario_count_unique_a1,10000000,25000000,10000,4,8.603950000000004e7,0,0,0,1,8
dask,scenario_rowwise_sum_and_mean_reduce,10000000,25000000,10000,4,8.38437405e10,0,0,0,1,8
dask,scenario_grouped_a1_statistics,10000000,25000000,10000,4,5.08776300000001e9,0,0,0,1,8
dask,scenario_table_load,100000000,10000000,1000,4,9.5739546e9,0,0,0,1,8
dask,scenario_full_table_statistics,100000000,10000000,1000,4,2.233374900000001e9,0,0,0,1,8
dask,scenario_count_unique_a1,100000000,10000000,1000,4,3.409437000000004e8,0,0,0,1,8
dask,scenario_rowwise_sum_and_mean_reduce,100000000,10000000,1000,4,3.429791836e11,0,0,0,1,8
dask,scenario_grouped_a1_statistics,100000000,10000000,1000,4,8.772215800000027e9,0,0,0,1,8
dask,scenario_table_load,100000000,25000000,1000,4,9.6468653e9,0,0,0,1,8
dask,scenario_full_table_statistics,100000000,25000000,1000,4,2.374578100000001e9,0,0,0,1,8
dask,scenario_count_unique_a1,100000000,25000000,1000,4,2.9293510000000113e8,0,0,0,1,8
dask,scenario_rowwise_sum_and_mean_reduce,100000000,25000000,1000,4,3.40874413e11,0,0,0,1,8
dask,scenario_grouped_a1_statistics,100000000,25000000,1000,4,9.103329300000042e9,0,0,0,1,8
dask,scenario_table_load,100000000,10000000,10000,4,1.01639529e10,0,0,0,1,8
dask,scenario_full_table_statistics,100000000,10000000,10000,4,2.4100448000000014e9,0,0,0,1,8
dask,scenario_count_unique_a1,100000000,10000000,10000,4,3.1328840000000113e8,0,0,0,1,8
dask,scenario_rowwise_sum_and_mean_reduce,100000000,10000000,10000,4,3.409086565e11,0,0,0,1,8
dask,scenario_grouped_a1_statistics,100000000,10000000,10000,4,1.0070661400000006e10,0,0,0,1,8
dask,scenario_table_load,100000000,25000000,10000,4,1.03082558e10,0,0,0,1,8
