tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs,workers,threads
spark,count,500000000,25000000,1000,4,2.8996090728000126e10,0,0,0,4,4
spark,count,500000000,25000000,1000,4,5.955557185100042e10,0,0,0,4,4
spark,count,500000000,25000000,1000,4,2.259965865099912e10,0,0,0,4,4
spark,count,500000000,25000000,1000,4,5.972255307900014e10,0,0,0,4,4
spark,count,500000000,25000000,1000,4,2.282782072700138e10,0,0,0,4,4
spark,count,500000000,25000000,10000,4,6.369586977200015e10,0,0,0,4,4
spark,count,500000000,25000000,10000,4,2.3386491650002426e10,0,0,0,4,4
spark,count,500000000,25000000,10000,4,6.256468543600204e10,0,0,0,4,4
spark,count,500000000,25000000,10000,4,2.211071067000012e10,0,0,0,4,4
spark,count,1000000000,10000000,1000,4,1.287771925500001e11,0,0,0,4,4
spark,count,1000000000,10000000,1000,4,4.941498933500043e10,0,0,0,4,4
spark,count,1000000000,10000000,1000,4,1.1675136292800017e11,0,0,0,4,4
spark,count,1000000000,10000000,1000,4,4.402921210400018e10,0,0,0,4,4
spark,count,1000000000,10000000,1000,4,1.1626626959299937e11,0,0,0,4,4
spark,count,1000000000,10000000,1000,4,4.428899647599974e10,0,0,0,4,4
spark,count,1000000000,10000000,10000,4,1.376259898669996e11,0,0,0,4,4
spark,count,1000000000,10000000,10000,4,5.6443363902999405e10,0,0,0,4,4
spark,count,1000000000,10000000,10000,4,1.2554027284099721e11,0,0,0,4,4
spark,count,1000000000,10000000,10000,4,4.426396896399819e10,0,0,0,4,4
spark,count,1000000000,25000000,1000,4,1.2045660637500078e11,0,0,0,4,4
spark,count,1000000000,25000000,1000,4,5.623894068499976e10,0,0,0,4,4
spark,count,1000000000,25000000,1000,4,1.1609506624000096e11,0,0,0,4,4
spark,count,1000000000,25000000,1000,4,4.419759985900055e10,0,0,0,4,4
spark,count,1000000000,25000000,1000,4,1.163196055949993e11,0,0,0,4,4
spark,count,1000000000,25000000,1000,4,4.369033972300167e10,0,0,0,4,4
spark,count,1000000000,25000000,10000,4,1.2920342423400143e11,0,0,0,4,4
spark,count,1000000000,25000000,10000,4,4.533231965699815e10,0,0,0,4,4
spark,count,1000000000,25000000,10000,4,1.2171737483600009e11,0,0,0,4,4
spark,count,1000000000,25000000,10000,4,4.227199422799822e10,0,0,0,4,4
spark,count,2000000000,10000000,1000,4,2.20766335894e11,0,0,0,4,4
spark,count,2000000000,10000000,1000,4,8.1655664613e10,0,0,0,4,4
spark,count,2000000000,10000000,1000,4,2.1622422509700027e11,0,0,0,4,4
spark,count,2000000000,10000000,1000,4,8.198072775099991e10,0,0,0,4,4
spark,count,2000000000,10000000,1000,4,2.2009889402900034e11,0,0,0,4,4
spark,count,2000000000,10000000,1000,4,7.885454183499997e10,0,0,0,4,4
spark,filter_half,10000000,10000000,1000,4,1.5177699369999118e9,0,0,0,4,4
spark,filter_half,10000000,10000000,1000,4,1.5001911170002131e9,0,0,0,8,4
spark,filter_half,10000000,10000000,1000,4,1.5390969529980793e9,0,0,0,8,4
spark,filter_half,10000000,25000000,1000,4,2.8407142870000825e9,0,0,0,4,4
spark,filter_half,10000000,25000000,1000,4,2.7560431219990277e9,0,0,0,4,4
spark,filter_half,100000000,10000000,1000,4,7.669657582000127e9,0,0,0,4,4
spark,filter_half,100000000,10000000,1000,4,5.124057958000776e9,0,0,0,8,4
spark,filter_half,100000000,10000000,1000,4,5.093376057993737e9,0,0,0,8,4
spark,filter_half,100000000,25000000,1000,4,7.59518971100033e9,0,0,0,4,4
spark,filter_half,100000000,25000000,1000,4,7.641238550000708e9,0,0,0,4,4
spark,filter_half,500000000,10000000,1000,4,3.30452339819999e10,0,0,0,4,4
spark,filter_half,500000000,10000000,1000,4,3.2872002293999683e10,0,0,0,4,4
spark,filter_half,500000000,10000000,1000,4,2.113667865900061e10,0,0,0,8,4
spark,filter_half,500000000,25000000,1000,4,3.2690930042999752e10,0,0,0,4,4
spark,filter_half,500000000,25000000,1000,4,3.273604585100111e10,0,0,0,4,4
spark,filter_half,1000000000,10000000,1000,4,6.712753215500015e10,0,0,0,4,4
spark,filter_half,1000000000,10000000,1000,4,3.890529625400086e10,0,0,0,8,4
spark,filter_half,1000000000,25000000,1000,4,6.563142321399937e10,0,0,0,4,4
spark,filter_half,2000000000,10000000,1000,4,1.13577299756e11,0,0,0,4,4
spark,filter_half,2000000000,10000000,1000,4,7.374121707299492e10,0,0,0,8,4
spark,groupby_single_col,10000000,10000000,1000,4,2.426569824999888e9,0,0,0,4,4
spark,groupby_single_col,10000000,10000000,1000,4,2.3782972789995255e9,0,0,0,8,4
